Target,Model1,Model2
26.06,36.168876920267934,38.25649681560695
10.35,15.445466861128807,12.363482069969177
74.99,55.26438956454396,51.16089043185114
59.0,52.72780146956443,49.27808869168162
52.12,42.56877002421417,41.1795087917149
48.15,53.457380924075835,52.30136570706963
17.2,27.965089628845455,26.16464527413249
55.25,63.190371091663835,63.70081846833229
34.68,40.45616528905928,35.872868659496305
61.46,57.47483384892344,57.43486921414733
27.63,42.58624036673805,37.00091568924486
41.64,47.69118875794112,48.65154149129987
26.85,25.564876723438502,24.34148188814521
61.07,63.190371091663835,63.70081846833229
66.95,62.305829997807734,62.27233874395489
48.79,47.66755290359258,43.59834044203162
24.05,21.595118932425976,20.685020423531533
21.16,23.59987070068717,23.284379501044747
6.94,15.608325259685516,13.012169381380081
28.6,53.077822151929134,47.78235494121909
33.95,26.996896951794625,26.342937160134312
25.72,23.629290374964476,23.960077508687974
35.17,41.60768856639974,37.809464530050754
32.24,29.10527664005756,29.050298354625703
33.8,41.768698217840864,43.357681860774754
35.08,30.13297490239143,31.794150662422176
52.91,42.78511456257663,40.89386128954589
40.93,41.381634564055126,38.35900218054652
42.35,47.424269146285944,45.30925789073109
53.39,55.24948715269565,54.35148018255829
64.3,64.5070390689373,61.74833937063813
14.64,18.482350894510745,16.818541286587717
53.58,48.37658487580716,44.24027208909392
24.58,33.15955559074879,28.420502502620216
13.2,20.11210707396269,18.407151068449018
18.91,19.589028710126875,18.310270439982414
7.4,20.90750760734081,17.48997872829437
49.2,49.44189860068261,43.32121706202626
6.81,18.460110309720037,16.759438792467115
27.34,28.380082147568466,27.657180609852077
39.59,34.66880007185041,34.73825255952775
55.64,59.13902860626578,58.341575537472956
18.02,26.143118770718573,24.070611803680656
48.72,44.87875742632895,44.086127397119995
36.8,37.4844519463554,37.05784723244607
46.68,47.4170960373804,47.31692937865853
40.87,39.22429327916353,38.4395869217813
17.24,19.781134542226788,18.806000802814957
33.94,34.05971796229482,34.69715520270169
15.57,24.659043564945456,22.495330344736573
40.27,46.40768878411501,48.031345667988056
29.98,35.19202495992183,33.00603048697114
20.73,21.67160577952862,19.279748941957948
27.66,30.96038709387183,31.391249682456255
29.73,31.935414378941054,28.10096962630749
42.13,40.607601375877856,37.56566973209381
41.05,45.150783557109534,41.900983362793916
61.92,58.82238315448164,61.17654797807335
37.42,34.40021636351943,33.402903639301655
37.92,39.89884122107178,35.27322091653943
32.72,46.622341705784194,42.76769754067063
14.94,23.359431008696554,20.021616098284717
44.09,42.502653726579446,43.70366086646914
26.92,25.821490298807618,24.531598578989502
13.66,18.0125953912735,15.938022731542587
63.14,42.56387076960061,40.00494360648095
35.23,28.98038416609168,28.996430065035817
31.42,28.572906845510005,29.559638127684593
38.8,38.334792788475745,36.91032782815397
29.59,45.113127127587795,40.733307208865874
22.5,25.516956719756124,24.750794050991537
17.34,19.32184266358614,16.60413506388664
15.87,21.466404867172237,21.002072554826732
44.86,31.790213047862053,30.308478641510007
15.42,26.419675191640856,24.5076224295795
45.85,26.06786153107881,26.115246870815753
25.45,29.59584336921573,29.637134496867652
39.3,32.73631824299693,31.255966546982528
27.92,25.914831619411707,24.8042759950459
52.5,36.54874189816415,36.71787512235343
30.57,28.167572965174912,27.119519197195764
14.59,16.827531296014783,13.781999342441559
57.03,55.492985313832754,54.551518657356496
6.47,14.095508577525615,11.255184713006019
33.42,35.90761942371726,35.14912625208497
31.45,27.977577082067725,26.861432006657125
36.15,45.74980961866677,41.72116583056748
14.4,14.767869420945644,12.492657836079598
13.36,16.874213319420814,14.559671041369437
8.54,19.237093045711518,17.308178633451462
40.29,42.75398147051921,41.02674142755568
32.04,28.515907123684883,27.643648947179315
29.72,31.677772143632176,27.947791396230457
23.85,35.82978754393756,35.188753582090136
69.3,66.48601333677769,60.70767760083079
61.23,50.615766450166696,45.606837250143286
32.92,39.88809172470122,35.74592125788331
39.7,38.29432428974658,36.72023147128522
33.4,35.04480099633336,34.07187050297856
39.27,35.25712238848209,35.049937119334935
18.13,20.37638416588306,19.573823680877688
33.01,23.855568051040173,22.20357128679752
33.72,36.03131578147411,35.246157591193914
